url,class,domain_digit_count,subdomain_digit_count,path_digit_count,domain_length,subdomain_length,path_length,isKnownTld,www,com,punnyCode,random_domain,subDomainCount,char_repeat,alexa1m_tld,alexa1m,-,.,/,@,?,&,=,_,domain_in_brand_list,raw_word_count,splitted_word_count,average_word_length,longest_word_length,shortest_word_length,std_word_length,compound_word_count,keyword_count,brand_name_count,negligible_word_count,target_brand_count,target_keyword_count,similar_keyword_count,similar_brand_count,average_compound_words,random_words,segmented_url
journals.cambridge.org/action/displayJournal?jid=KER,0.0,0,0,0,9,8,52,1,0,0,0,0,1,0,1,1,0,2,2,0,1,0,1,0,0,6,6,9.0,14,6,2.449489742783178,5,0,0,7,0,0,0,0,9.6,0,"['journals', 'cambridge', 'org', 'action', 'display', 'journal', 'jid', 'ker', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
www.examsguide.com/opensource/inoursite.html,0.0,0,0,0,10,3,44,1,2,1,0,0,1,6,0,0,0,3,2,0,0,0,0,0,0,6,8,7.666666666666667,10,3,2.98142396999972,4,2,0,8,0,0,0,0,9.75,0,"['www', 'exams', 'guide', 'com', 'open', 'source', 'in', 'our', 'site', 'html', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
https://qrco.de/bfHJv5,1.0,0,0,1,4,0,7,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4.5,5,4,0.5,0,0,0,0,0,0,0,0,0.0,2,"['https', 'qr', 'co', 'de', 'bfhjv5', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
www.muppetlabs.com/~breadbox/intercal/,0.0,0,0,0,10,3,38,1,2,1,0,0,1,8,1,1,0,2,3,0,0,0,0,0,0,5,6,8.0,10,3,2.6076809620810595,4,1,0,5,1,0,0,1,9.25,0,"['www', 'muppet', 'labs', 'com', 'breadbox', 'intercal', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
home.neopets.com/templates/homepage.phtml?pet_name=ticklemint,0.0,0,0,0,7,4,61,1,0,1,0,0,1,0,1,1,0,3,2,0,1,0,1,1,0,10,6,6.1,10,3,2.3,5,3,0,6,1,1,1,1,8.2,0,"['home', 'neopets', 'com', 'templates', 'homepage', 'phtml', 'pet', 'name', 'tickle', 'mint', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
https://docs.google.com/presentation/d/e/2PACX-1vS3oPR5Ch4JxK1X700yHUL2i893W5pQPlT310e_6AMv_lo7MhQ7b_uZeXyIee9oZ-CNNeAgnIRYaf-q/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1.0,0,0,25,6,4,167,1,0,0,0,0,1,8,1,1,3,1,5,0,1,3,4,3,1,14,7,8.571428571428571,23,4,4.880197386439636,4,0,1,9,0,2,2,0,10.0,6,"['https', 'docs', 'google', 'com', 'presentation', 'd', 'e', '2pacx', '1vs3opr5ch4jxk1x700yhul2', 'i893w5pqplt310e6amvlo7mh', 'q7buzexyiee9oz', 'cnneagniryaf', 'q', 'pub', 'start', 'false', 'amp', 'loop', 'false', 'amp', 'delay', 'ms', '3000', 'amp', 'slide', 'id', 'p', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
www.vioio.com/mp3alarmclock.htm,0.0,0,0,1,5,3,31,1,2,1,0,0,1,6,0,0,0,3,1,0,0,0,0,0,0,5,2,5.6,12,3,3.32264954516723,1,2,0,2,0,2,2,0,12.0,0,"['www', 'vio', 'io', 'com', 'mp3', 'alarm', 'clock', 'htm', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
https://sites.google.com/view/agricole-05/accueil,1.0,0,0,2,6,5,25,1,0,0,0,0,1,2,1,1,1,0,3,0,0,0,0,0,1,5,2,6.0,8,4,1.4142135623730951,2,0,1,4,0,0,0,0,7.5,0,"['https', 'sites', 'google', 'com', 'view', 'agricole', '05', 'accueil', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
https://tinyurl.com/myrobloxprofile123,1.0,0,0,3,7,0,19,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,4,11.0,15,7,4.0,2,0,0,4,0,0,0,0,11.0,0,"['https', 'tinyurl', 'com', 'myrobloxprofile123', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
www.phoca.cz/phocagallery/,0.0,0,0,0,5,3,26,0,2,0,0,0,1,7,1,1,0,2,2,0,0,0,0,0,0,3,2,7.333333333333333,12,5,3.299831645537222,1,0,0,4,0,0,0,0,12.0,0,"['www', 'phoca', 'cz', 'phoca', 'gallery', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>', '<PAD>']"
